FUENTES,,,,,,,,,,
https://mms.businesswire.com/media/20210203005511/ja/855851/1/Bacardi_2021_Cocktail_Trends_Report_Final.pdf,,,,,,,,,Lista de ingredientes,pesos
https://www.bbcgoodfood.com/recipes/blackberry-gin,,,,,,,,,,
https://drinksint.com/news/fullstory.php/aid/9319/The_World_92s_Best-Selling_Classic_Cocktails_2021.html,,,,,,,,,,
No.,Bebida,ingredientes,,,,,,,gin,.2
1,Negroni,"gin, vermouth rosso, campari",,,,,,,vermouth rosso,.2
2,Gin & tonic,"gin, tonic",,,,,,,campari,15
3,Old fashioned (bourbon),"bourbon, sugar cube, bitters, water",,,,,,,tonic,.15
4,Old Fashioned (whiskey),"rye whiskey, sugar cube, bitters, water",,,,,,,bourbon,5
5,Espresso Martini,"espresso, coffee liqueur, vodka.",,,,,,,sugar cube,
6,Dry Martini,"gin, vermouth, orange bitters, lemon juice",,vermouth,,,,,bitters,
7,Whiskey Sour,"whiskey, lemon juice, sugar cube, egg white, orange peel",,,,,,,water,
8,Margarita,"tequila, lemon juice, orange liqueur",,,,,,,rye whiskey,
9,Manhattan,"rye whiskey, sweet vermouth, angostura bitters, orange bitters, lemon peel",,,,,,,espresso,
10,Mojito,"lime juice, syrup, mint leaves, white rum",,,,,,,coffee liqueur,
11,Sex on the beach,"peach schnapps, orange juice, pineapple juice, vodka, cranberry juice, raspberry liqueur",,,,,,,vodka,
12,Woo woo,"vodka, peach schnapps, cranberry juice",,,,,,,white rum,
13,Daiquiri,"lime juice, syrup, white rum",,,,,,,tequila,
14,Aperol Spritz,"prosecco, aperol, soda water",,,,,,,lemon juice,
15,Cosmo,"vodka, triple sec, cranberry juice, lemon juice",,,,,,,orange liqueur,
16,New york sour,"bourbon whiskey, lemon juice, syrup, angostura bitter, claret wine",,,,,,,orange juice,
17,Piña Colada,"rum, coconut juice, pineapple juice",,,,,,,coconut juice,
18,Penicillin,"scotch, lemon juice, honey-ginger syrup, blended scotch",,,,,,,pineapple juice,
19,Bloody Mary,"ice, vodka, tomato juice, lemon juice, tabasco, salt, black pepper",,,,,,,lemon,
20,Gimlet,"gin, lemon juice, syrup",,,,,,,egg white,
21,Moscow Mule,"vodka, lime juice, ice, ginger beer",,,,,,,orange peel,
22,Clover Club,"gin, lemon juice, raspberry syrup, egg white",,,,,,,orange bitters,
23,Boulevardier,"bourbon, campari, vermouth",,,,,,,rye whiskey,
24,Mai Tai,"white rum, orange juice, lime juice, dark rum, orgeat",,,,,,,sweet vermouth,
25,Paloma,"grapefruit juice, tequila, lime juice, syrup, salt, ice",,,,,,,dry vermouth,
26,Pisco Sour,"pisco, lime juice, syrup, egg white, angostura bitter",,,,,,,angostura bitters,
27,Americano,"campari, vermouth, soda water",,,,,,,blackberries,1
28,Vieux Carré,"rye whiskey, cognac, vermouth, liqueur, ",,,,,,,,
29,Amaretto Sour,"liqueur, syrup, lemon juice, orange bitters",,,,,,,,
30,Blackberry Gin,"blackberries, sugar cube, gin",,,,,,,,